_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,agree_or_not,agree_or_not:variance,agree_or_not_gold,sentence
703393947,false,finalized,3,4/12/15 17:24,4.67,0.471,,captain can be used with the same meaning of master
703393948,false,finalized,3,4/12/15 17:52,4.67,0.471,,lion is part of pride
703393949,false,finalized,3,4/12/15 9:45,1.33,0.471,,rise can be used as the opposite of incline
703393950,false,finalized,3,4/12/15 17:07,2.33,1.247,,fire can be used with the same meaning of card
703393951,true,golden,57,4/12/15 17:40,1.32,0.729,"1
2",instrument is a kind of address
703393952,false,finalized,3,4/12/15 10:12,1.33,0.471,,fail can be used as the opposite of school
703393953,false,finalized,3,4/12/15 10:14,4.67,0.471,,separation can be used with the same meaning of division
703393954,false,finalized,3,4/12/15 10:04,3.33,1.247,,police can be used with the same meaning of pig
703393955,false,finalized,3,4/12/15 10:13,2,1.414,,race can be used with the same meaning of sex
703393956,false,finalized,3,4/12/15 9:45,3,1.414,,spark is a kind of trace
703393957,false,finalized,3,4/12/15 13:28,3.33,0.943,,develop can be used as the opposite of take
703393958,false,finalized,3,4/12/15 10:01,3.33,0.471,,level is a kind of place
703393959,false,finalized,3,4/12/15 17:45,4.67,0.471,,hand can be used with the same meaning of paw
703393960,false,finalized,3,4/12/15 17:47,5,0,,letter is a member of alphabet
703393961,false,finalized,3,4/12/15 14:43,3,1.414,,hit can be used as the opposite of turkey
703393962,false,finalized,3,4/12/15 10:16,5,0,,beach is a kind of shore
703393963,false,finalized,3,4/12/15 10:16,4.67,0.471,,button is part of tv
703393964,false,finalized,3,4/12/15 10:04,4.33,0.471,,cube is a kind of number
703393965,false,finalized,3,4/12/15 10:17,5,0,,wife is part of family
703393966,false,finalized,3,4/12/15 10:12,4.33,0.471,,confidence is a kind of emotion
703393967,false,finalized,3,4/12/15 13:02,2,1.414,,buffet can be used with the same meaning of blow
703393968,false,finalized,3,4/12/15 10:01,4,0.816,,bed is a kind of device
703393969,false,finalized,3,4/12/15 10:00,2,1.414,,shade can be used as the opposite of direct
703393970,false,finalized,3,4/12/15 15:45,4,0,,column is a kind of article
703393971,false,finalized,3,4/12/15 14:45,3,1.414,,back can be used as the opposite of main
703393972,false,finalized,3,4/12/15 9:43,4.67,0.471,,man can be used as the opposite of wife
703393973,false,finalized,3,4/12/15 13:14,5,0,,pedal is part of bicycle
703393974,false,finalized,3,4/12/15 9:41,5,0,,house is made of room
703393975,false,finalized,3,4/12/15 10:02,3.67,0.471,,rank is a kind of stand
703393976,false,finalized,3,4/12/15 9:46,5,0,,faith can be used with the same meaning of religion
703393977,false,finalized,3,4/12/15 9:57,5,0,,java is a island
703393978,false,finalized,3,4/12/15 10:10,1.67,0.471,,sister can be used with the same meaning of love
703393979,false,finalized,3,4/12/15 10:12,1.67,0.471,,study can be used with the same meaning of cabinet
703393980,false,finalized,3,4/12/15 10:11,1,0,,leaf is a kind of division
703393981,false,finalized,3,4/12/15 10:06,4.33,0.471,,bind is part of book
703393982,false,finalized,3,4/12/15 15:58,3,0.816,,tree can be used as the opposite of bush
703393983,false,finalized,3,4/12/15 10:02,5,0,,letter can be used as the opposite of number
703393984,false,finalized,3,4/12/15 9:43,2.33,1.886,,man can be used as the opposite of pan
703393985,false,finalized,3,4/12/15 13:34,1,0,,juice can be used with the same meaning of take
703393986,false,finalized,3,4/12/15 15:45,5,0,,drive can be used as the opposite of walk
703393987,false,finalized,3,4/12/15 14:35,3,0.816,,run can be used with the same meaning of pass
703393988,false,finalized,3,4/12/15 13:31,4.33,0.471,,work can be used as the opposite of relaxation
703393989,false,finalized,3,4/12/15 17:05,4.67,0.471,,bridge is made of stone
703393990,false,finalized,3,4/12/15 9:46,4,0,,nail can be used with the same meaning of screw
703393991,false,finalized,3,4/12/15 9:58,3,0.816,,head can be used with the same meaning of think
703393992,false,finalized,3,4/12/15 13:29,4,0,,confirm can be used as the opposite of question
703393993,false,finalized,3,4/12/15 9:57,1,0,,division can be used as the opposite of time
703393994,false,finalized,3,4/12/15 9:44,2.67,1.247,,eye is a kind of hole
703393995,false,finalized,3,4/12/15 10:16,4.33,0.471,,phone is made of plastic
703393996,false,finalized,3,4/12/15 14:41,4,1.414,,blow can be used with the same meaning of hit
703393997,false,finalized,3,4/12/15 17:30,1.33,0.471,,cake can be used as the opposite of lie
703393998,false,finalized,3,4/12/15 10:15,3.67,1.247,,connect can be used as the opposite of pull
703393999,false,finalized,3,4/12/15 13:25,2,1.414,,want can be used as the opposite of hate
703394000,false,finalized,3,4/12/15 17:43,1.67,0.471,,break is part of pool
703394001,false,finalized,3,4/12/15 9:46,5,0,,human is made of cell
703394002,false,finalized,3,4/12/15 14:46,3.33,0.943,,handle can be used with the same meaning of deal
703394003,false,finalized,3,4/12/15 14:31,5,0,,rice is a kind of grain
703394004,false,finalized,3,4/12/15 10:10,1,0,,money is a kind of time
703394005,false,finalized,3,4/12/15 9:47,1.33,0.471,,love is a kind of place
703394006,false,finalized,3,4/12/15 13:14,4.67,0.471,,contact is a kind of touch
703394007,false,finalized,3,4/12/15 17:33,1.33,0.471,,if leave is true
703394008,false,finalized,3,4/12/15 12:50,4.33,0.471,,armor can be used as the opposite of clothe
703394009,false,finalized,3,4/12/15 9:58,1.33,0.471,,drink is a kind of help
703394010,false,finalized,3,4/12/15 10:00,4.33,0.943,,wheel is a kind of machine
703394011,false,finalized,3,4/12/15 9:58,5,0,,sole is part of foot
703394012,false,finalized,3,4/12/15 15:43,2.33,1.247,,horse is a kind of policeman
703394013,false,finalized,3,4/12/15 10:02,5,0,,day can be used as the opposite of night
703394014,false,finalized,3,4/12/15 9:46,4.33,0.471,,department can be used as the opposite of whole
703394015,false,finalized,3,4/12/15 15:59,2.67,0.943,,christian can be used as the opposite of corrupt
703394016,false,finalized,3,4/12/15 10:02,4,0,,triangle is made of metal
703394017,false,finalized,3,4/12/15 10:17,5,0,,chapter is part of story
703394018,false,finalized,3,4/12/15 10:02,2.67,0.943,,cry can be used as the opposite of talk
703394019,false,finalized,3,4/12/15 10:14,2,0.816,,tide is a kind of place
703394020,false,finalized,3,4/12/15 14:31,3.33,0.943,,star can be used with the same meaning of feature
703394021,false,finalized,3,4/12/15 17:29,5,0,,mother is a kind of woman
703394022,false,finalized,3,4/12/15 15:13,4.33,0.471,,result can be used as the opposite of begin
703394023,false,finalized,3,4/12/15 9:43,4.67,0.471,,dwell can be used with the same meaning of home
703394024,false,finalized,3,4/12/15 17:38,1.67,0.471,,music is a kind of toy
703394025,false,finalized,3,4/12/15 10:11,5,0,,fabric can be used with the same meaning of cloth
703394026,false,finalized,3,4/12/15 13:39,2,0.816,,violin is part of string
703394027,false,finalized,3,4/12/15 10:04,4.33,0.471,,alcohol is a kind of drug
703394028,false,finalized,3,4/12/15 16:04,4.33,0.471,,smoke is a kind of cloud
703394029,false,finalized,3,4/12/15 14:36,2,0.816,,get can be used with the same meaning of travel
703394030,false,finalized,3,4/12/15 10:16,1.67,0.471,,fall can be used as the opposite of beat
703394031,false,finalized,3,4/12/15 10:06,5,0,,snowflake is made of water
703394032,false,finalized,3,4/12/15 10:14,4.33,0.471,,aisle can be used as the opposite of seat
703394033,false,finalized,3,4/12/15 9:47,1.67,0.471,,turn can be used with the same meaning of get
703394034,false,finalized,3,4/12/15 10:11,4.67,0.471,,cow is a kind of adult
703394035,false,finalized,3,4/12/15 10:01,5,0,,fall can be used as the opposite of ascend
703394036,false,finalized,3,4/12/15 15:17,5,0,,die can be used with the same meaning of death
703394037,false,finalized,3,4/12/15 10:01,4.33,0.471,,drive can be used with the same meaning of push
703394038,false,finalized,3,4/12/15 9:43,4.67,0.471,,shore can be used with the same meaning of support
703394039,false,finalized,3,4/12/15 15:17,4.33,0.471,,football can be used with the same meaning of ball
703394040,false,finalized,3,4/12/15 9:41,3,0.816,,bread can be used as the opposite of meat
703394041,false,finalized,3,4/12/15 17:33,2.33,1.247,,mobile is a river
703394042,false,finalized,3,4/12/15 10:13,5,0,,cancer is a kind of disease
703394043,false,finalized,3,4/12/15 13:24,5,0,,kind can be used as the opposite of mean
703394044,false,finalized,3,4/12/15 9:45,4,0.816,,pain is part of life
703394045,false,finalized,3,4/12/15 14:36,2.67,1.247,,burn is a kind of disease
703394046,false,finalized,3,4/12/15 15:54,1,0,,nut can be used with the same meaning of ball
703394047,false,finalized,3,4/12/15 9:46,5,0,,hem is a kind of edge
703394048,false,finalized,3,4/12/15 10:29,2.33,1.247,,size can be used as the opposite of weight
703394049,false,finalized,3,4/12/15 14:36,3.67,0.471,,bone can be used as the opposite of blood
703394050,false,finalized,3,4/12/15 9:57,1,0,,eat is a kind of toy
703394051,false,finalized,3,4/12/15 9:41,1,0,,pen is a kind of window
703394052,false,finalized,3,4/12/15 14:37,2.33,1.247,,tour is part of france
703394053,false,finalized,3,4/12/15 13:28,3.33,0.943,,crater is a constellation
703394054,false,finalized,3,4/12/15 10:12,4.33,0.471,,cry is part of sadness
703394055,false,finalized,3,4/12/15 9:43,4.33,0.471,,flag is a kind of decorate
703394056,false,finalized,3,4/12/15 9:57,4.33,0.471,,actress can be used as the opposite of actor
703394057,false,finalized,3,4/12/15 10:24,4,0.816,,colour can be used with the same meaning of stain
703394058,false,finalized,3,4/12/15 10:02,5,0,,garbage can be used with the same meaning of waste
703394059,false,finalized,3,4/12/15 9:45,2,1.414,,relief is a kind of damage
703394060,false,finalized,3,4/12/15 10:16,4.33,0.471,,triangle is a kind of figure
703394061,false,finalized,3,4/12/15 17:07,4,0.816,,garden can be used as the opposite of home
703394062,false,finalized,3,4/12/15 9:46,1,0,,gum is a kind of crater
703394063,false,finalized,3,4/12/15 15:14,5,0,,australia is a country
703394064,false,finalized,3,4/12/15 17:40,1.67,0.471,,gun can be used as the opposite of flower
703394065,false,finalized,3,4/12/15 13:34,4.67,0.471,,candy is made of sugar
703394066,false,finalized,3,4/12/15 10:06,4,0.816,,set can be used with the same meaning of fix
703394067,false,finalized,3,4/12/15 17:06,1,0,,money can be used as the opposite of be
703394068,false,finalized,3,4/12/15 9:44,1.33,0.471,,peace is a kind of play
703394069,false,finalized,3,4/12/15 15:52,1,0,,orange is a river
703394070,false,finalized,3,4/12/15 17:41,4.67,0.471,,keep is a kind of record
703394071,false,finalized,3,4/12/15 12:49,3.67,1.247,,small can be used as the opposite of adult
703394072,false,finalized,3,4/12/15 17:43,5,0,,view can be used with the same meaning of scene
703394073,false,finalized,3,4/12/15 9:44,3.67,1.247,,copy can be used as the opposite of create
703394074,false,finalized,3,4/12/15 10:00,2,1.414,,grind can be used as the opposite of floor
703394075,false,finalized,3,4/12/15 17:44,3,1.414,,work can be used as the opposite of off
703394076,false,finalized,3,4/12/15 10:06,2,1.414,,leaf is a kind of turn
703394077,false,finalized,3,4/12/15 17:45,4.33,0.471,,silver can be used as the opposite of brass
703394078,false,finalized,3,4/12/15 17:07,5,0,,matter is made of molecule
703394079,false,finalized,3,4/12/15 10:15,1.33,0.471,,coffee is a kind of oven
703394080,false,finalized,3,4/12/15 10:00,2,1.414,,lady can be used as the opposite of female
703394081,false,finalized,3,4/12/15 10:01,2.67,1.247,,chapter is a kind of business
703394082,false,finalized,3,4/12/15 10:29,1.33,0.471,,bug can be used with the same meaning of nut
703394083,false,finalized,3,4/12/15 9:44,2,1.414,,tail is a kind of reverse
703394084,false,finalized,3,4/12/15 9:43,4.67,0.471,,head is part of bolt
703394085,false,finalized,3,4/12/15 14:35,1,0,,bird can be used with the same meaning of stretch
703394086,false,finalized,3,4/12/15 9:46,5,0,,department is part of university
703394087,false,finalized,3,4/12/15 9:58,1.33,0.471,,collar is part of shoe
703394088,false,finalized,3,4/12/15 10:00,1.33,0.471,,soul is a kind of place
703394089,false,finalized,3,4/12/15 15:54,2.67,1.247,,star is a kind of sun
703394090,false,finalized,3,4/12/15 9:47,2,1.414,,apple is made of plastic
703394091,false,finalized,3,4/12/15 10:12,4.67,0.471,,call can be used as the opposite of answer
703394092,false,finalized,3,4/12/15 14:37,5,0,,mean can be used as the opposite of kindness
703394093,false,finalized,3,4/12/15 15:53,1,0,,sand can be used as the opposite of nice
703394094,false,finalized,3,4/12/15 13:12,4,0,,rent is a kind of contract
703394095,false,finalized,3,4/12/15 14:10,5,0,,man can be used with the same meaning of human_be
703394096,false,finalized,3,4/12/15 13:24,3.33,0.943,,hunt is a kind of labor
703394097,false,finalized,3,4/12/15 15:59,3.67,0.471,,mark can be used with the same meaning of note
703394098,false,finalized,3,4/12/15 10:04,2.67,0.943,,union is a kind of device
703394099,false,finalized,3,4/12/15 15:13,1,0,,soldier is a kind of vehicle
703394100,false,finalized,3,4/12/15 13:56,1.33,0.471,,gun is a kind of place
703394101,false,finalized,3,4/12/15 9:42,5,0,,door is made of wood
703394102,false,finalized,3,4/12/15 10:24,5,0,,oxygen is part of air
703394103,false,finalized,3,4/12/15 9:43,4.67,0.471,,earth can be used with the same meaning of land
703394104,false,finalized,3,4/12/15 15:48,3,0.816,,channel can be used with the same meaning of sound
703394105,false,finalized,3,4/12/15 17:49,3.67,1.247,,bolt can be used as the opposite of nail
703394106,false,finalized,3,4/12/15 10:12,5,0,,work can be used as the opposite of recreation
703394107,false,finalized,3,4/12/15 9:44,4.67,0.471,,trust is part of faith
703394108,false,finalized,3,4/12/15 10:15,4.33,0.471,,hot can be used with the same meaning of boil
703394109,false,finalized,3,4/12/15 17:51,4.33,0.471,,compress can be used with the same meaning of pack
703394110,false,finalized,3,4/12/15 15:55,1,0,,wall is a kind of insect
703394111,false,finalized,3,4/12/15 9:46,4.33,0.943,,head is a kind of word
703394112,false,finalized,3,4/12/15 15:44,2.67,0.943,,bed can be used as the opposite of bath
703394113,false,finalized,3,4/12/15 16:04,3.67,1.247,,rest can be used as the opposite of tire
703394114,false,finalized,3,4/12/15 10:17,4.33,0.471,,book is a kind of collection
