sentencea,sentenceb,if_sentence_a_is_true_then,to_what_extent_are_the_two_sentences_expressing_a_related_meaning,to_what_extent__are_the_two_sentences_expressing_a_related_meaning:variance
a girl is riding a horse,a girl is riding a brown horse,sentence b cannot be said to be true or false,4.4,0.49
a man is riding a skateboard in a park,a man is riding a skateboard,sentence b is true,4.77,0.421
a woman is eating and drinking with other women,some women are eating and drinking ,sentence b is true,4.92,0.266
a person is playing a drum,a red car is on the shirt of a man,sentence b cannot be said to be true or false,1,0
a cat is resting on a chair,an onion is being cut by a man,sentence b cannot be said to be true or false,1,0
a woman is speaking on a stage,a drunk man is watering a dog,sentence b cannot be said to be true or false,1,0
the sheep is grazing on the grass,an animal is grazing in a field,sentence b is true,4.25,0.829
some kids are eating the food,the food on the trays is being eaten by the kids,sentence b cannot be said to be true or false,4.08,0.759
a dog is running on the beach,a surfer is riding the wave,sentence b cannot be said to be true or false,1.11,0.314
a cat is playing with a stuffed bear,a cat is playing with a toy,sentence b is true,5,0
two dogs are fighting in a pit,some dogs are fighting in a pit,sentence b is true,4.7,0.458
a girl is diving into a swimming pool,a girl is diving into the water,sentence b is true,4.69,0.462
a person is riding a bike,a man is slicing potatoes,sentence b cannot be said to be true or false,1,0
a small elephant is walking through water,an elephant is wading through a river,sentence b is true,4.6,0.49
the woman is eating some pizza,a woman is eating,sentence b is true,4.54,0.499
a boy is dancing and singing in the rain,a man is playing an instrument,sentence b cannot be said to be true or false,1.36,0.61
two baby tigers are playing,there are no tigers playing,sentence b is false,3.92,1.115
a giraffe is eating a small tree,a kid is selling a book,sentence b cannot be said to be true or false,1,0
a man is slicing an orange,an orange is being sliced by a man,sentence b is true,5,0
two men are riding a black horse on the shore,two men are riding a horse on the shore,sentence b is true,4.88,0.331
the woman is peeling an apple,a woman is peeling the apple,sentence b is true,4.93,0.249
the person is riding the horse,a man is riding a horse,sentence b cannot be said to be true or false,4.5,0.5
a man is playing the instrument,a man is playing a guitar,sentence b cannot be said to be true or false,4.31,0.722
a man is drinking some milk,some milk is being drunk by a man,sentence b is true,5,0
the woman is drawing,the woman is not drawing,sentence b is false,4.43,1.05
a dog is walking around,a kid is scared,sentence b cannot be said to be true or false,1,0
the boy is burrowing a hole,a hole is being burrowed by the boy,sentence b is true,5,0
a small plane is landing,an aircraft is landing,sentence b is true,4.82,0.386
a woman is playing a guitar,a woman is playing an electric guitar,sentence b cannot be said to be true or false,4.54,0.634
someone is stirring a pot of soup with a ladle,someone is stirring soup in a pot,sentence b is true,4.73,0.445
the man is trotting on the horse,a man is riding a horse,sentence b is true,4.58,0.64
a man is diving into the sea,a man is jumping into the sea,sentence b is true,4.36,0.771
the water is being drunk by a dog,a little dog is drinking fresh water,sentence b cannot be said to be true or false,4.4,0.49
a boy is doing exercises,the boy is doing floor exercises,sentence b cannot be said to be true or false,4.27,0.445
a girl is dancing,there is no girl dancing,sentence b is false,4.29,1.161
a lot of kids are in an ice skating park,many kids are skating in an ice park,sentence b cannot be said to be true or false,4.25,1.01
someone is typing on a cell phone,somebody is typing on the cell phone,sentence b is true,4.87,0.34
a man is running uphill,a man is quickly running uphill,sentence b cannot be said to be true or false,4.42,0.493
the man is kicking a monkey,the man is not kicking a monkey,sentence b is false,4,1.519
a man is slicing a tomato,a man is cutting a tomato,sentence b is true,4.89,0.314
an animal is jumping into a box,an animal is jumping into a container,sentence b is true,4.83,0.373
a woman is slicing an onion,an onion is being cut by a woman,sentence b is true,5,0
a person is riding a horse,a person is riding an old horse,sentence b cannot be said to be true or false,4.69,0.462
a kid is eating a cupcake,a woman is working on the computer,sentence b cannot be said to be true or false,1,0
a monkey is teasing a lion,a lion's tail is being pulled by a monkey,sentence b cannot be said to be true or false,4.2,0.98
a cook is cracking eggs,a cook is breaking eggs,sentence b is true,5,0
a woman is crying,a sad woman is crying,sentence b cannot be said to be true or false,4.89,0.314
a kid is making a sketch,a kid is drawing,sentence b is true,4.75,0.433
the man is riding the horse,the girl is watering the plants,sentence b cannot be said to be true or false,1.07,0.249
a woman is frying  chicken,a chicken is being fried by a woman,sentence b is true,4.9,0.3
a man is playing the violin,a dog is running with the ball,sentence b cannot be said to be true or false,1,0
a dog is barking at a man,a group of people is walking,sentence b cannot be said to be true or false,1,0
a girl is crying,two women are talking,sentence b cannot be said to be true or false,1.14,0.35
a man is cleaning a bowl,a cat is playing a piano,sentence b cannot be said to be true or false,1,0
a boy is riding a bicycle,a dog is jumping a fence,sentence b cannot be said to be true or false,1,0
there is no cold cyclist celebrating,a bicyclist is holding a bike over his head in a group of people,sentence b cannot be said to be true or false,3,0.894
the woman is wearing a colorful shirt and a lot of jewelry,a girl with indian clothing and henna on her hand is going through paperwork,sentence b cannot be said to be true or false,2.2,0.748
a dog and a black man are running through brown leaves,a brown and black dog is running through the leaves,sentence b cannot be said to be true or false,3.8,0.748
a bee is taking off from a yellow flower,a small bee is landing on a bunch of yellow flowers,sentence b cannot be said to be true or false,2.2,1.166
a toddler is making a splash outside a blue paddling pool,a toddler is making a splash inside a blue paddling pool,sentence b is false,3.6,1.497
some cheerleaders are taking a break,a female cheerleader is sitting on the knee of a male cheerleader,sentence b cannot be said to be true or false,3.6,0.49
two pandas are not lying together,two baby pandas are playing,sentence b cannot be said to be true or false,3,1.414
two kids are pushing past a crocodile in an inflatable pool,two kids are pushing an inflatable crocodile in a pool,sentence b cannot be said to be true or false,3.2,1.47
there is no child hanging on a large branch,two children are hanging on a large branch,sentence b is false,4,1.265
"the male, who is dark skinned, is standing on one hand in front of a yellow building",a black man is break dancing on the pavement,sentence b cannot be said to be true or false,2,1.265
a fish is being cut by a man,a man is slicing a fish,sentence b is true,4,1.549
four people are standing on a low cement ledge,four people are sitting on a low cement ledge,sentence b cannot be said to be true or false,3.4,1.2
a cyclist is being held over the heads of a group of people with the bike,a bicyclist is holding a bike over his head in a group of people,sentence b cannot be said to be true or false,3.4,1.02
"a person who rides bikes, in a black and red uniform, is standing on a dirt bike",a bike rider in a black and red uniform is standing on a dirt bike,sentence b is true,4.6,0.49
a woman is penciling on eyeshadow,a woman is putting cosmetics on her eyelid,sentence b is true,4.6,0.49
the bike is being ridden by a girl in a strange outfit,a girl in a strange outfit is riding the bike,sentence b is true,5,0
one person is cutting an onion,a person is cutting an onion,sentence b is true,5,0
a man is cleaning the edge of a bowl,a chef is cleaning a bowl of soup,sentence b cannot be said to be true or false,4,0.632
a black bird is taking flight from a dead tree,the black bird is sitting in a leafless tree,sentence b is false,3.6,1.02
a skateboarder is doing tricks on a half pipe,a man is skateboarding on a half pipe,sentence b is true,4.2,0.748
a group of people are looking at sound equipment,a group of people are standing around a sound mixing table,sentence b cannot be said to be true or false,4,0.632
some women are talking,the men are talking,sentence b cannot be said to be true or false,3.4,1.2
